 Ngrid    =         512 Npart    =    16777216 Nthreads =          32
  Step   Tot/min      Force       Move          Density      IO         Bias       BDM        Analysis
    1   3.2985E-02   3.0268E-02   8.1772E-04   1.8794E-03    0.000        0.000        0.000        0.000    
    2   3.1121E-02   2.8778E-02   1.3078E-03   1.0263E-03    0.000        0.000        0.000        0.000    
    3   2.9517E-02   2.7053E-02   7.8199E-04   1.6732E-03    0.000        0.000        0.000        0.000    
    4   2.7895E-02   2.6274E-02   6.4913E-04   9.6714E-04    0.000        0.000        0.000        0.000    
    5   2.8922E-02   2.6914E-02   1.0486E-03   9.5320E-04    0.000        0.000        0.000        0.000    
    6   3.7689E-02   3.5613E-02   6.2853E-04   1.4408E-03    0.000        0.000        0.000        0.000    
    7   2.4548E-02   2.2817E-02   6.9642E-04   1.0293E-03    0.000        0.000        0.000        0.000    
    8   2.7041E-02   2.5337E-02   7.2107E-04   9.7820E-04    0.000        0.000        0.000        0.000    
    9   2.6719E-02   2.4981E-02   6.9885E-04   1.0318E-03    0.000        0.000        0.000        0.000    
   10   2.7384E-02   2.5549E-02   8.0194E-04   1.0258E-03    0.000        0.000        0.000        0.000    
   11   2.9555E-02   2.7567E-02   8.2696E-04   1.1539E-03    0.000        0.000        0.000        0.000    
   12   2.8031E-02   2.6284E-02   6.6617E-04   1.0729E-03    0.000        0.000        0.000        0.000    
   13   3.0626E-02   2.8014E-02   1.5014E-03   1.1044E-03    0.000        0.000        0.000        0.000    
   14   3.4222E-02   3.1429E-02   1.1591E-03   1.6259E-03    0.000        0.000        0.000        0.000    
   15   3.7348E-02   3.4916E-02   9.5787E-04   1.4673E-03    0.000        0.000        0.000        0.000    
   16   3.6679E-02   3.4361E-02   8.0763E-04   1.5012E-03    0.000        0.000        0.000        0.000    
   17   3.6967E-02   3.4180E-02   1.1651E-03   1.6137E-03    0.000        0.000        0.000        0.000    
   18   3.6368E-02   3.3375E-02   1.2791E-03   1.7084E-03    0.000        0.000        0.000        0.000    
   19   3.5725E-02   3.3088E-02   1.1332E-03   1.4983E-03    0.000        0.000        0.000        0.000    
   20   3.6247E-02   3.2966E-02   1.5315E-03   1.7435E-03    0.000        0.000        0.000        0.000    
   21   3.6333E-02   3.3584E-02   1.0983E-03   1.6438E-03    0.000        0.000        0.000        0.000    
   22   3.6059E-02   3.3241E-02   1.3401E-03   1.4717E-03    0.000        0.000        0.000        0.000    
   23   3.7922E-02   3.4456E-02   1.5242E-03   1.9360E-03    0.000        0.000        0.000        0.000    
   24   3.7902E-02   3.4509E-02   1.3933E-03   1.9929E-03    0.000        0.000        0.000        0.000    
   25   3.8170E-02   3.5027E-02   1.3440E-03   1.7907E-03    0.000        0.000        0.000        0.000    
