 Ngrid    =         512 Npart    =    16777216 Nthreads =          32
  Step   Tot/min      Force       Move          Density      IO         Bias       BDM        Analysis
    1   0.2432       2.2971E-02   8.3367E-04    298.1        0.000        0.000        0.000        0.000    
    2   0.2365       3.0610E-02   6.8954E-04    901.1        0.000        0.000        0.000        0.000    
    3   0.2308       2.3091E-02   6.9892E-04    1524.        0.000        0.000        0.000        0.000    
    4   0.2317       2.5935E-02   6.0101E-04    2126.        0.000        0.000        0.000        0.000    
    5   0.2327       2.4968E-02   8.0643E-04    2736.        0.000        0.000        0.000        0.000    
    6   0.2316       2.3821E-02   1.0487E-03    3345.        0.000        0.000        0.000        0.000    
    7   0.3327       2.1394E-02   7.0076E-04    4109.        0.000        0.000        0.000        0.000    
    8   0.2346       2.7187E-02   6.0832E-04    4823.        0.000        0.000        0.000        0.000    
    9   0.2342       2.5809E-02   1.0513E-03    5438.        0.000        0.000        0.000        0.000    
   10   0.3653       3.3964E-02   1.0808E-03    6214.        0.000        0.000        0.000        0.000    
   11   0.2575       2.8655E-02   6.8105E-04    7060.        0.000        0.000        0.000        0.000    
   12   0.2310       2.3404E-02   6.2561E-04    7683.        0.000        0.000        0.000        0.000    
   13   0.2369       2.8371E-02   1.0559E-03    8289.        0.000        0.000        0.000        0.000    
   14   0.2346       2.5584E-02   1.0895E-03    8911.        0.000        0.000        0.000        0.000    
   15   0.2337       2.7166E-02   6.3324E-04    9522.        0.000        0.000        0.000        0.000    
   16   0.2323       2.4378E-02   6.8741E-04   1.0136E+04    0.000        0.000        0.000        0.000    
   17   0.2314       2.3922E-02   8.0109E-04   1.0744E+04    0.000        0.000        0.000        0.000    
   18   0.2352       2.6469E-02   8.3008E-04   1.1352E+04    0.000        0.000        0.000        0.000    
   19   0.2318       2.4073E-02   6.9987E-04   1.1967E+04    0.000        0.000        0.000        0.000    
   20   0.2282       2.1079E-02   8.2347E-04   1.2573E+04    0.000        0.000        0.000        0.000    
   21   0.2334       2.5313E-02   1.0228E-03   1.3171E+04    0.000        0.000        0.000        0.000    
   22   0.2333       2.4974E-02   7.5785E-04   1.3784E+04    0.000        0.000        0.000        0.000    
   23   0.2298       2.2103E-02   7.8939E-04   1.4394E+04    0.000        0.000        0.000        0.000    
   24   0.2316       2.2992E-02   8.9111E-04   1.4997E+04    0.000        0.000        0.000        0.000    
   25   0.2359       2.7643E-02   1.2807E-03   1.5603E+04    0.000        0.000        0.000        0.000    
   26   0.2358       2.4664E-02   1.1388E-03   1.6228E+04    0.000        0.000        0.000        0.000    
   27   0.2291       2.1407E-02   9.7707E-04   1.6839E+04    0.000        0.000        0.000        0.000    
   28   0.2334       2.5126E-02   7.0292E-04   1.7440E+04    0.000        0.000        0.000        0.000    
   29   0.2307       2.3373E-02   9.6334E-04   1.8051E+04    0.000        0.000        0.000        0.000    
   30   0.2321       2.3794E-02   7.4615E-04   1.8656E+04    0.000        0.000        0.000        0.000    
   31   0.2324       2.4156E-02   8.4991E-04   1.9263E+04    0.000        0.000        0.000        0.000    
